capacity,vehicles_available,capacity_free,hour,temp,hum,percp,wspeed
20,8,12,1,13.3,90.0,0.0,8.2
20,8,12,3,12.6,93.0,0.0,9.4
20,8,12,4,12.5,93.0,0.0,9.8
20,9,11,5,14.1,90.0,0.0,11.1
20,9,11,6,16.4,82.0,0.0,11.1
20,13,7,7,18.3,67.0,0.0,13.2
20,19,1,8,19.5,61.0,0.0,13.9
20,19,1,9,20.7,56.0,0.0,15.3
20,16,4,10,21.6,52.0,0.0,13.3
20,13,7,11,22.3,49.0,0.0,14.3
20,11,9,12,22.8,46.0,0.0,14.8
20,0,20,13,23.0,45.0,0.0,15.4
20,1,19,14,23.1,43.0,0.0,16.6
20,8,12,15,23.1,43.0,0.0,16.9
20,7,13,16,22.3,47.0,0.0,17.4
20,5,15,17,21.1,55.0,0.0,16.4
20,4,16,18,19.6,60.0,0.0,15.4
20,0,20,19,18.6,62.0,0.0,15.1
20,0,20,20,17.6,65.0,0.0,14.5
20,1,19,21,16.8,68.0,0.0,14.3
20,3,17,22,16.3,69.0,0.0,17.2
20,5,15,23,16.0,69.0,0.0,15.0
20,1,19,0,15.4,71.0,0.0,13.7
20,1,19,1,14.9,72.0,0.0,13.1
20,1,19,3,14.0,75.0,0.0,13.8
20,2,18,4,13.6,76.0,0.0,13.4
20,2,18,5,14.3,75.0,0.0,13.0
20,2,18,6,16.0,66.0,0.0,13.4
20,3,17,7,17.3,51.0,0.0,15.9
20,1,19,8,18.3,48.0,0.0,15.8
20,0,20,9,19.2,45.0,0.0,16.3
20,0,20,10,19.9,44.0,0.0,12.5
20,0,20,11,20.3,44.0,0.0,14.7
20,0,20,12,20.7,45.0,0.0,14.8
20,0,20,13,20.9,46.0,0.0,15.3
20,1,19,14,21.1,47.0,0.0,15.6
20,2,18,15,21.0,48.0,0.0,15.7
20,0,20,16,20.6,51.0,0.0,14.4
20,0,20,17,19.9,56.0,0.0,12.0
20,2,18,18,18.7,61.0,0.0,10.7
20,2,18,19,17.4,58.0,0.0,10.2
20,2,18,20,16.1,63.0,0.0,9.2
20,0,20,21,15.1,67.0,0.0,9.2
20,1,19,22,14.3,69.0,0.0,9.8
20,0,20,23,13.2,73.0,0.0,8.9
20,0,20,0,12.3,77.0,0.0,6.6
20,0,20,1,11.5,79.0,0.0,6.5
20,0,20,3,10.4,84.0,0.0,6.1
20,0,20,4,10.3,85.0,0.0,6.3
20,0,20,5,12.7,80.0,0.0,6.4
20,0,20,6,15.1,70.0,0.0,5.6
20,0,20,7,16.9,60.0,0.0,6.0
20,0,20,8,18.2,57.0,0.0,6.6
20,1,19,9,19.2,56.0,0.0,6.5
20,0,20,10,20.2,54.0,0.0,3.6
20,0,20,11,21.1,52.0,0.0,4.2
20,2,18,12,21.3,52.0,0.0,5.4
20,0,20,13,21.7,51.0,0.0,6.3
20,0,20,14,21.7,51.0,0.0,7.0
20,1,19,15,21.7,51.0,0.0,8.9
20,0,20,16,21.4,53.0,0.0,9.2
20,1,19,17,20.7,59.0,0.0,7.4
20,4,16,18,19.9,65.0,0.0,6.3
